name,ref_energy,n_mol,polymorph
SIHBIV05,-11114.480523311177,4,SIHBIV
SIHBIV01,-11113.916612266245,8,SIHBIV
SIKLIH04,-18902.253930917457,8,SIKLIH
SIKLIH,-18903.24652566163,8,SIKLIH
SIKLIH02,-18902.51123675364,4,SIKLIH
SILTOW01,-21114.3210510361,2,SILTOW
SILTOW,-21112.753479985375,4,SILTOW
SILTOW11,-21114.771098082227,4,SILTOW
SLFNMA02,-18941.35113082644,8,SLFNMA
SLFNMA06,-18945.723676529837,4,SLFNMA
SLFNMA03,-18944.88800113026,4,SLFNMA
SLFNMA01,-18947.85566082992,8,SLFNMA
SLFNMB02,-17417.689236253547,8,SLFNMB
SLFNMB01,-17412.08201301128,8,SLFNMB
SLFNMB05,-17421.953392517036,4,SLFNMB
SLFNMB06,-17412.4866328691,4,SLFNMB
SOBPEE01,-24414.885023996823,4,SOBPEE
SOBPEE,-24413.447647392975,4,SOBPEE
SOBPEE02,-24412.61275641645,4,SOBPEE
SORFOY01,-20727.669726469376,4,SORFOY
SORFOY02,-20728.086275370773,4,SORFOY
SORFOY,-20724.487053927223,4,SORFOY
SOVBOU17,-20091.9960094493,4,SOVBOU
SOVBOU19,-20090.429087742625,4,SOVBOU
SOVBOU,-20092.803780180813,4,SOVBOU
SOVBOU18,-20091.46093161995,4,SOVBOU
SUCACB07,-4233.0374214952,4,SUCACB
SUCACB02,-4231.672604747112,4,SUCACB
SUCACB19,-4232.290331989281,8,SUCACB
SUCROS01,-25656.640793167728,2,SUCROS
SUCROS24,-25616.197539466175,2,SUCROS
SUCROS23,-25656.8774954764,2,SUCROS
SUTHAZ07,-15672.392094544388,8,SUTHAZ
SUTHAZ04,-15673.6386616886,4,SUTHAZ
SUTHAZ02,-15677.368928817938,8,SUTHAZ
SUTHAZ05,-15671.872071028374,8,SUTHAZ
SUTHAZ,-15675.2576703401,4,SUTHAZ
SUTHAZ11,-15674.599757216038,8,SUTHAZ
SUYNAB,-6954.330477900978,16,SUYNAB
SUYNAB02,-6953.155024242075,16,SUYNAB
SUYNAB03,-6951.496008869266,16,SUYNAB
SUZGIE04,-17658.194353822713,4,SUZGIE
SUZGIE02,-17657.70205310054,4,SUZGIE
SUZGIE,-17655.940857881513,4,SUZGIE
SUZGIE01,-17656.029763502338,4,SUZGIE
TADLIU03,-27991.991802101496,2,TADLIU
TADLIU04,-27990.996678485473,2,TADLIU
TADLIU02,-27987.15719371311,4,TADLIU
TADLIU,-27992.936609272452,2,TADLIU
TAPBIY02,-9676.577089531444,8,TAPBIY
TAPBIY01,-9675.01182700495,8,TAPBIY
TAPBIY,-9674.043457955788,4,TAPBIY
TAPDIA01,-11408.182169295951,16,TAPDIA
TAPDIA,-11409.208055767256,8,TAPDIA
TAPDIA02,-11408.13813697923,8,TAPDIA
TAPSAF02,-19276.109144505575,2,TAPSAF
TAPSAF,-19286.841122813075,8,TAPSAF
TAPSAF01,-19276.050324837448,2,TAPSAF
TBZDTY01,-2076.0766793300904,48,TBZDTY
TBZDTY03,-2075.5943993591063,96,TBZDTY
TBZDTY04,-2076.017755086297,96,TBZDTY
TEGVAF01,-30056.52487679168,4,TEGVAF
TEGVAF02,-30052.097525557972,4,TEGVAF
TEGVAF,-30060.024094909702,2,TEGVAF
TEHNID,-9584.09413054332,8,TEHNID
TEHNID02,-9581.240547953712,8,TEHNID
TEHNID01,-9581.64300437662,8,TEHNID
TEJKUO01,-12232.823384769186,4,TEJKUO
TEJKUO,-12232.802764718625,2,TEJKUO
TEJKUO03,-12232.907926614676,4,TEJKUO
TEMBES06,-3121.325733316911,24,TEMBES
TEMBES01,-3121.6489759970395,24,TEMBES
TEMBES,-3121.3418152357,36,TEMBES
TFMETH03,-2486.1242718180374,4,TFMETH
TFMETH07,-2478.6694287270875,4,TFMETH
TFMETH05,-2480.7229279069497,4,TFMETH
TFMETH06,-2478.9443676794435,8,TFMETH
TFMETH,-2483.8776658706875,4,TFMETH
THBARB02,-8399.213970056991,16,THBARB
THBARB01,-8400.309810927238,4,THBARB
THBARB03,-8397.582374635724,8,THBARB
TITVAU02,-15982.963620976225,8,TITVAU
TITVAU,-15982.855261567274,4,TITVAU
TITVAU01,-15978.268361169694,8,TITVAU
TNBENZ12,-3967.4491689100873,24,TNBENZ
TNBENZ10,-3967.584788909523,48,TNBENZ
TNBENZ13,-3968.590352483963,12,TNBENZ
TOKSAO,-8569.344964519956,8,TOKSAO
TOKSAO01,-8567.6701304917,8,TOKSAO
TOKSAO03,-8568.713207876363,4,TOKSAO
TOLUEN04,-9035.910159547251,6,TOLUEN
TOLUEN11,-9035.73848764615,8,TOLUEN
TOLUEN,-9039.617844121123,8,TOLUEN
TOZSOT01,-22003.152861950686,4,TOZSOT
TOZSOT,-22002.42609351244,4,TOZSOT
TOZSOT02,-22004.1673132007,4,TOZSOT
TOZTIN07,-10585.391817255888,16,TOZTIN
TOZTIN06,-10586.088651705311,8,TOZTIN
TOZTIN,-10589.29376894998,8,TOZTIN
TPEPHO08,-22442.576496137463,8,TPEPHO
TPEPHO02,-22441.915877815212,4,TPEPHO
TPEPHO,-22445.170288522742,8,TPEPHO
TPEPHO07,-22442.66171313674,4,TPEPHO
TPEPHO12,-22451.60020076601,4,TPEPHO
TUVXAL,-20433.79794782076,4,TUVXAL
TUVXAL06,-20421.3768343577,8,TUVXAL
TUVXAL02,-20430.31853566111,4,TUVXAL
UCAYED01,-8093.8749683950755,4,UCAYED
UCAYED,-8086.358459489308,12,UCAYED
UCAYED02,-8093.743467058875,12,UCAYED
UCECAG,-11528.70130932128,8,UCECAG
UCECAG03,-11529.248592623737,4,UCECAG
UCECAG02,-11527.7389509258,2,UCECAG
UHULEQ,-30131.698376125176,4,UHULEQ
UHULEQ01,-30134.851342865528,4,UHULEQ
UHULEQ02,-30133.16674636436,4,UHULEQ
UJAGIX03,-15967.950343915289,4,UJAGIX
UJAGIX01,-15966.445090837577,4,UJAGIX
UJAGIX02,-15967.713893673674,4,UJAGIX
UJEZIU01,-21694.353875444176,4,UJEZIU
UJEZIU03,-21699.178016777943,8,UJEZIU
UJEZIU,-21688.59988754174,4,UJEZIU
UJEZIU02,-21691.971768857373,4,UJEZIU
UJIRIO,-17784.35752231871,4,UJIRIO
UJIRIO05,-17781.4448464054,8,UJIRIO
UJIRIO02,-17781.818362514376,8,UJIRIO
UKEMEE01,-25949.237852118014,3,UKEMEE
UKEMEE,-25952.499883974688,4,UKEMEE
UKEMEE02,-25950.077521835785,3,UKEMEE
ULALUO02,-5014.141410169174,2,ULALUO
ULALUO01,-5013.4823100384,4,ULALUO
ULALUO,-5014.0248365097505,2,ULALUO
ULAWAF01,-12372.014080983565,8,ULAWAF
ULAWAF,-12371.52379125,8,ULAWAF
ULAWAF02,-12375.559420620077,2,ULAWAF
UMAXUD,-24992.071110581797,4,UMAXUD
UMAXUD01,-24991.535712663463,4,UMAXUD
UMAXUD02,-24990.139800005934,4,UMAXUD
UNOGIN,-25685.97674480632,4,UNOGIN
UNOGIN02,-25685.787670629416,4,UNOGIN
UNOGIN06,-25687.4706505244,4,UNOGIN
URAQEK,-17336.34369687991,4,URAQEK
URAQEK03,-17329.758061344226,2,URAQEK
URAQEK01,-17333.327073093064,4,URAQEK
UREAXX27,-4744.655570268337,4,UREAXX
UREAXX,-4716.4149368528,2,UREAXX
UREAXX26,-4740.842380553025,2,UREAXX
UTIXAX01,-3507.040539538025,8,UTIXAX
UTIXAX02,-3506.1867672912435,8,UTIXAX
UTIXAX,-3505.7773714259247,8,UTIXAX
UTIXAX03,-3506.255756960794,8,UTIXAX
UWUCEX01,-19367.6437948821,2,UWUCEX
UWUCEX02,-19373.2713789921,8,UWUCEX
UWUCEX,-19368.012043633713,4,UWUCEX
UWUKAZ04,-12767.438835566423,4,UWUKAZ
UWUKAZ01,-12774.093328949031,8,UWUKAZ
UWUKAZ,-12771.835575969026,4,UWUKAZ
UWUKAZ06,-12770.826526069915,8,UWUKAZ
UWUKAZ02,-12779.350283178224,8,UWUKAZ
UWUKAZ03,-12769.284194530344,8,UWUKAZ
VACTAU01,-20560.994668702224,4,VACTAU
VACTAU04,-20559.163659590537,4,VACTAU
VACTAU02,-20565.444616964134,8,VACTAU
VARYES02,-2381.956981581229,12,VARYES
VARYES01,-2382.9499266463586,12,VARYES
VARYES,-2382.7537471532373,12,VARYES
VEGMAV06,-22385.33836550815,4,VEGMAV
VEGMAV,-22391.037398449134,4,VEGMAV
VEGMAV03,-22389.33915197381,4,VEGMAV
VEXMOA02,-16179.592519718944,8,VEXMOA
VEXMOA01,-16235.628161049624,4,VEXMOA
VEXMOA,-16238.8503890648,8,VEXMOA
VIMPAJ01,-12235.979638150457,8,VIMPAJ
VIMPAJ03,-12235.015615026909,8,VIMPAJ
VIMPAJ05,-12240.060146553433,8,VIMPAJ
VIPKIO,-4223.820263235587,4,VIPKIO
VIPKIO03,-4218.296324036225,8,VIPKIO
VIPKIO02,-4218.808548428475,4,VIPKIO
VIPKIO04,-4219.895438686787,4,VIPKIO
VIPKIO05,-4221.479390478387,4,VIPKIO
VIRVOH04,-21078.412051294912,4,VIRVOH
VIRVOH03,-21077.77919339565,2,VIRVOH
VIRVOH,-21082.246991864988,4,VIRVOH
VITDEL01,-13155.052308794362,4,VITDEL
VITDEL,-13156.049293364826,4,VITDEL
VITDEL02,-13157.196126617877,2,VITDEL
VOCNOU01,-13212.216633464135,4,VOCNOU
VOCNOU02,-13208.090256936406,8,VOCNOU
VOCNOU,-13209.08806476513,8,VOCNOU
VOCNOU03,-13210.678702484804,8,VOCNOU
VOCWAO06,-20204.8655846382,4,VOCWAO
VOCWAO,-20217.533067965724,4,VOCWAO
VOCWAO02,-20220.902830470764,4,VOCWAO
VUSDIX06,-30045.848049310174,2,VUSDIX
VUSDIX03,-30044.752130709203,2,VUSDIX
VUSDIX01,-30052.380595904317,4,VUSDIX
VUSDIX04,-30049.623970488177,4,VUSDIX
VUSDIX,-30054.083400813463,4,VUSDIX
WACHEP02,-16691.987451980385,4,WACHEP
WACHEP,-16691.7445280777,4,WACHEP
WACHEP03,-16691.965015358488,4,WACHEP
WAJXEL,-10075.637908716924,4,WAJXEL
WAJXEL01,-10073.2033427532,2,WAJXEL
WAJXEL02,-10070.927212637063,4,WAJXEL
WAMFAS,-18875.28446265264,8,WAMFAS
WAMFAS04,-18879.676987143164,4,WAMFAS
WAMFAS01,-18874.059807854956,8,WAMFAS
WAMFAS02,-18875.307303064263,4,WAMFAS
WERVEU02,-6486.719419665556,8,WERVEU
WERVEU01,-6488.659263012999,4,WERVEU
WERVEU,-6486.279703388987,8,WERVEU
WIRMOZ,-18231.262193223632,8,WIRMOZ
WIRMOZ01,-18229.293123725445,8,WIRMOZ
WIRMOZ02,-18229.347571417005,8,WIRMOZ
WISNAN04,-21467.4312019448,2,WISNAN
WISNAN,-21467.54303674345,2,WISNAN
WISNAN05,-21477.587907254372,2,WISNAN
WIVDUA02,-11959.750340390336,4,WIVDUA
WIVDUA,-11959.84289869205,4,WIVDUA
WIVDUA03,-11960.539471667124,4,WIVDUA
WOTJOE05,-16219.229848004808,6,WOTJOE
WOTJOE02,-16220.35151624117,8,WOTJOE
WOTJOE,-16216.164027079289,4,WOTJOE
WOTJOE03,-16218.298818972262,4,WOTJOE
XAFPAY01,-27247.639743999076,2,XAFPAY
XAFPAY03,-27235.266002982524,4,XAFPAY
XAFPAY,-27235.84720932552,4,XAFPAY
XAFPAY02,-27238.81462527995,4,XAFPAY
XAFPAY04,-27236.822737320475,4,XAFPAY
XAMFEA01,-21410.41722068445,2,XAMFEA
XAMFEA02,-21405.665983296076,4,XAMFEA
XAMFEA,-21412.620102283137,4,XAMFEA
XAWBOQ,-20818.905689678675,4,XAWBOQ
XAWBOQ03,-20820.579871830152,4,XAWBOQ
XAWBOQ02,-20821.93287061301,4,XAWBOQ
XAWBOQ01,-20812.375895801582,4,XAWBOQ
XEBZIQ02,-24084.8155620046,4,XEBZIQ
XEBZIQ01,-24085.226271633797,2,XEBZIQ
XEBZIQ,-24084.301361478945,8,XEBZIQ
XILPUD,-11165.10047630582,8,XILPUD
XILPUD02,-11165.551661513126,8,XILPUD
XILPUD01,-11165.892344982662,4,XILPUD
XIVLOD,-56547.631826406374,2,XIVLOD
XIVLOD02,-56544.72173556742,2,XIVLOD
XIVLOD01,-56547.27653197207,2,XIVLOD
XOHYIE01,-16869.152866458637,8,XOHYIE
XOHYIE,-16875.47839266586,4,XOHYIE
XOHYIE02,-16867.900671344378,4,XOHYIE
XOJXOL02,-9830.74665227575,12,XOJXOL
XOJXOL,-9830.153008855445,12,XOJXOL
XOJXOL06,-9833.6689909206,4,XOJXOL
XULBAL,-20830.527442766463,4,XULBAL
XULBAL01,-20834.373110056415,4,XULBAL
XULBAL02,-20832.466320057843,8,XULBAL
XUQSAD09,-27175.558641017476,2,XUQSAD
XUQSAD23,-27177.69012347495,2,XUQSAD
XUQSAD06,-27174.279496436648,2,XUQSAD
XUVLIK03,-19083.679121843223,4,XUVLIK
XUVLIK,-19081.638042453775,8,XUVLIK
XUVLIK01,-19085.55763353557,8,XUVLIK
XYANAC07,-20815.210283785906,2,XYANAC
XYANAC03,-20809.47306280555,2,XYANAC
XYANAC,-20812.552650773698,2,XYANAC
YAQNAG02,-25649.74027545756,4,YAQNAG
YAQNAG01,-25649.247412227836,4,YAQNAG
YAQNAG,-25649.594087898306,4,YAQNAG
YEJLII,-9925.817940789062,8,YEJLII
YEJLII01,-9924.93842188185,2,YEJLII
YEJLII02,-9925.959338109287,8,YEJLII
YERRUI01,-11886.862590968689,2,YERRUI
YERRUI02,-11866.884941395589,8,YERRUI
YERRUI,-11953.216702189033,8,YERRUI
YESBUW,-26176.590866486713,4,YESBUW
YESBUW01,-26178.628222278796,4,YESBUW
YESBUW03,-26175.27979622545,2,YESBUW
YEWYAD,-18028.12209326333,4,YEWYAD
YEWYAD01,-18025.430673736857,8,YEWYAD
YEWYAD02,-18021.8300936639,8,YEWYAD
YILLAG03,-2283.024859220413,12,YILLAG
YILLAG,-2283.2549461154667,12,YILLAG
YILLAG02,-2283.9373159759143,24,YILLAG
YIPMOC02,-19390.0654056458,4,YIPMOC
YIPMOC,-19383.231854797163,4,YIPMOC
YIPMOC01,-19387.637601592087,4,YIPMOC
YIQXUU01,-29868.39705249861,4,YIQXUU
YIQXUU,-29862.45291919455,2,YIQXUU
YIQXUU02,-29867.65599945611,4,YIQXUU
YIVRIF01,-35143.5259187238,4,YIVRIF
YIVRIF02,-35145.62324500885,2,YIVRIF
YIVRIF,-35146.487613358935,4,YIVRIF
YOZZAQ,-9086.2087674403,1,YOZZAQ
YOZZAQ02,-9086.581021284264,4,YOZZAQ
YOZZAQ01,-9085.6427516957,2,YOZZAQ
YUBWAV,-17659.269970532412,4,YUBWAV
YUBWAV02,-17657.490869265268,8,YUBWAV
YUBWAV01,-17658.162294992977,4,YUBWAV
YUCCIJ01,-21164.12395952285,2,YUCCIJ
YUCCIJ03,-21164.8345204108,2,YUCCIJ
YUCCIJ,-21168.39382215045,2,YUCCIJ
YUGWOP01,-13097.789378866712,4,YUGWOP
YUGWOP02,-13103.890618696274,4,YUGWOP
YUGWOP03,-13103.495211346864,4,YUGWOP
YUGWOP,-13095.57348964275,8,YUGWOP
ZECZIQ02,-20521.58641659084,8,ZECZIQ
ZECZIQ,-20526.6768467555,4,ZECZIQ
ZECZIQ01,-20528.601350314613,4,ZECZIQ
ZEHZEU,-16287.706469743487,4,ZEHZEU
ZEHZEU02,-16287.309316658808,12,ZEHZEU
ZEHZEU03,-16284.147608457864,4,ZEHZEU
ZEMJOQ02,-33706.117689020495,2,ZEMJOQ
ZEMJOQ01,-33702.17309758975,2,ZEMJOQ
ZEMJOQ,-33703.638041887796,4,ZEMJOQ
ZEXREZ02,-10795.791128889025,4,ZEXREZ
ZEXREZ,-10792.973557878391,8,ZEXREZ
ZEXREZ01,-10792.882968413409,16,ZEXREZ
ZIPKOA01,-21461.02803256959,4,ZIPKOA
ZIPKOA02,-21465.520836091524,8,ZIPKOA
ZIPKOA,-21457.95260527585,4,ZIPKOA
ZOGQAN01,-24554.61795192087,8,ZOGQAN
ZOGQAN,-24548.021207584712,4,ZOGQAN
ZOGQAN05,-24548.591199476163,4,ZOGQAN
ZOYLII05,-11082.288718067282,8,ZOYLII
ZOYLII01,-11078.984396473292,6,ZOYLII
ZOYLII19,-11083.677800189838,4,ZOYLII
ZOYLII13,-11079.493338365435,4,ZOYLII
ZOYLII18,-11081.028051449412,4,ZOYLII
ZOYLII03,-11081.683529653894,8,ZOYLII
ZOYLII16,-11082.478119690162,4,ZOYLII
ZOYLII17,-11082.173776331025,4,ZOYLII
ZOYMOP03,-28150.728331442388,4,ZOYMOP
ZOYMOP08,-28156.791542432835,4,ZOYMOP
ZOYMOP04,-28150.1760978564,2,ZOYMOP
ZULGEU03,-29863.435450070796,2,ZULGEU
ZULGEU04,-29874.312327380387,4,ZULGEU
ZULGEU,-29873.382496852348,2,ZULGEU
ZULGEU05,-29862.5605009344,4,ZULGEU
ZULGEU01,-29868.78275972855,4,ZULGEU
ZZZMRW02,-19546.93261119907,4,ZZZMRW
ZZZMRW01,-19546.925966759547,4,ZZZMRW
ZZZMRW03,-19543.13573902696,4,ZZZMRW
ZZZNQS04,-15965.43847549623,8,ZZZNQS
ZZZNQS06,-15965.637564092503,8,ZZZNQS
ZZZNQS08,-15967.405750815642,6,ZZZNQS
ZZZNQS09,-15967.11264385839,6,ZZZNQS
ZZZNQS03,-15972.848584161176,2,ZZZNQS
ZZZPUS06,-21104.8016595443,4,ZZZPUS
ZZZPUS01,-21105.189643579022,4,ZZZPUS
ZZZPUS21,-21105.52747700227,8,ZZZPUS
ZZZPUS10,-21105.79419145262,8,ZZZPUS
ZZZWGK03,-9562.229948359218,8,ZZZWGK
ZZZWGK01,-9562.738067194112,4,ZZZWGK
ZZZWGK04,-9565.827479264964,4,ZZZWGK
